Server_ID,Hostname,IP_Address,OS_Type,Server_Location,CPU_Utilization (%),Memory_Usage (%),Disk_IO (%),Network_Traffic_In (MB/s),Network_Traffic_Out (MB/s),Uptime (Hours),Downtime (Hours),Admin_Name,Admin_Email,Admin_Phone,Log_Timestamp,CPU_Health,Memory_Health,Disk_Health,Availability_Pct,Total_Network_MBs,Load_Score,Date,Hour,Server_Role,Instance_Size,Region_Group
536c9e75-40a1-4a74-8ca6-c6abaec13999,gAAAAABptp5OPh0QnVWQh0gKf7iH5penrmiStZhr6KxyU4_piJmmQSDu7txC-ftln9S6DpViZqFIsCOjkNlVG_3bg7dLX-YeNg==,gAAAAABptp5OOmOsgvpWXm-G2P5M-iqHo42w64jKC_K63yxUwwGdWwrWNv-cdVotJFl4eqOjS2OQKjJEoygYQLANtyvjt5aNtQ==,Windows Server 2022,"Berlin, Germany",28.1,88.6,28.36,31.13,52.54,18.49,5.51,gAAAAABptp5OY4PzFeUm6mWZhWl5c7a75zY6Ee3jWs7U5uvv9Ov_S9fLw2S19AO_xzMBlQYSkftqI3TjdHQORXrEo8pR4iFadA==,gAAAAABptp5OpWZRiUCU6XuVwRNaqS_3c7o5RhpB2SOHtWdN1XYTXzt999CLkaNa_87mXkLVFsqY-n53pNLC8iqJuvzMeFIX4dnuIw4D5khWgVv92n7tVUM=,gAAAAABptp5OPXgBtUVT6RLliar-G47xvOt1oh9dh8I7pFJPg-fICF_pFKQYVHG5pGPdvtPmDCndfUGHhEhpmb3-liKMJoiPuA==,2025-03-11 16:45:00,GOOD,CRITICAL,GOOD,77.04,83.67,48.35,2025-03-11,16,Web Server,Small,Europe
26bae71d-c025-4082-9484-ef7aa9e04836,gAAAAABptp5OHF5_CYbPf5tGdviEsC5CvVM46dqu8yFTCezNobt325Tj9cJFdWj6hX6RnkH45hdcbN7gkU5dhYB0nppGG7e-Hw==,gAAAAABptp5Ow3kWbIGkVJb9-QoU8KO7TaGiC4auXxs04vrMLbegVyhmDlw_Gc6_jfF8O8zR0vQoZtZCsuJO1S15Wrb8EPK51g==,Ubuntu 20.04,"London, UK",49.72,84.35,73.89,123.34,97.1,19.71,4.29,gAAAAABptp5O3Z0h-JuTuhm1QGD2tfOkjogpS5cMzKBrgXU2ZQqCVuvEOjaaXB4-8tj2qCN9rNosi8Vxob7tUEZ1O-WMNPqs_CtlYRJLNWyaz7CASF7vuKw=,gAAAAABptp5ObKX281qmn7dLL0GFFo38h8zMX4mVVtf2uAtRcR7mUi-U9D-uOKoypTiBe7MBNLT2XNqA8qe-vnK4H2J548YX2jyqU14WoHuR5Zy2wdtsyto=,gAAAAABptp5OM303oVVTWhtH9G_Vxj4GDTcGiSP6PRiaBDOf8NBOWcfdWt1MeUiNwJzsD4y65d4InxB5N7Q-Xgcn9NtZak3-Nw==,2025-01-25 10:59:00,GOOD,MODERATE,MODERATE,82.12,220.44,69.32,2025-01-25,10,Web Server,Small,Europe
454de38a-5961-490f-9d46-d20663a36baf,gAAAAABptp5Om1VtXnUNP6xSFBpfCMT1wQzpLYrJQudz7h43dYjd_7c3IyJl1o5HfTBG2IpjshcExQ0HDW-7rn_425wEW754fg==,gAAAAABptp5OHxC9OkOwa03Mq7_SOZj0sYH0eZ8zRL-5uZ9t2LGPgLgisny3Qem1zUQYy3N-_PtaILPDT5eAciSzWnafq0P_-A==,Red Hat Enterprise Linux,"New York, USA",44.72,57.64,14.94,69.6,112.81,18.64,5.36,gAAAAABptp5OvRs8-V9s2ViY5HV5Wa-hO1oJTIki2hE0mN-vO9eFaJYdM0yorV3Op6_hpgB-9lG5YKiuUGsbumMOtX5cSgTcmA==,gAAAAABptp5ONswVsrxux0BckZ_nsPCycxvFbtzo1Wc0rJEzStyigUvopnvaHkoGyQHDttWjLVlHO6d4Yt6UILGiQKzBOSQutzKKmgfUGgQlQKx8lWt6mko=,gAAAAABptp5Oy5IKMqmYkbhWp3N0vSecfFTHgVjIuWIR9drny0ntSvA70SqHzEFZScEPSe5owbHGp7PML63vDsIHwTuwmJ4Xvw==,2025-01-29 08:31:00,GOOD,GOOD,GOOD,77.67,182.41,39.1,2025-01-29,8,Backup,Small,Americas
8b8a3f40-1b67-4fe6-a65e-93fd07f317f7,gAAAAABptp5OgX00j46XqLwlMV68Mt2EsCwXvC3ACqXImBVmv45rZ62U-ZYep6stAUnaCSFflVtRIcmUIgpyBHmFQxgCdAFkDQ==,gAAAAABptp5O5XmmaypdgikCyvhAUnekj44XgEZ7U7BspqSyZ2La_KAFqAqiA_FMCNQv8Aie8YEDLK2ZUccBIstKuTtlXCACcA==,Red Hat Enterprise Linux,"New York, USA",37.69,97.97,71.46,62.97,148.51,18.14,5.86,gAAAAABptp5OLRYuZU7vxyuoxcUAPHUuj5qOZtOkO2SejwAm_xIRQlcZhqoOYsSIEf7Bbq6FuT-RNeqM74VcKdxvL1CXDHmRpfViZcuJGc_wQkYsv7LrjnU=,gAAAAABptp5ONDEop_i31ta9kNkypK1QineGbPefPtGaZpibe2-jw5wMZG3vkHZgI0R3Benxp0gjVc-LAhYmoAm8IO8cC3zLaFmUzrHLhikYEHHBPT5SsJ0=,gAAAAABptp5OUR1B9mFpN-iC_vSJL9K9WteZX5dDbrldOJzt-exz3LVhlzbrA8935VZumbALoTDSh2CJK6l7QXUwhvwd4vE5jw==,2025-03-01 16:49:00,GOOD,CRITICAL,MODERATE,75.58,211.48,69.04,2025-03-01,16,Web Server,Small,Americas
375cb3db-89d3-4705-af4a-8f829cce1928,gAAAAABptp5OjVY1Qhe66d5Y5HWger0eRGB0eFlEbuX1seUJVlO6qLSkYuCnbiDmy7ZR9nVYnzTpe1fhYjdsyuYVQgqeOI6rxQ==,gAAAAABptp5Ox2IhQLuQSKuw-eW94uS4yuICymD7tkRf5xDrbO4A2_DBvHNUWjFZFBOTYHGuO6aJ5CTgUg3D4kGG4IGCW-rXrw==,Windows Server 2022,"Tokyo, Japan",63.97,67.31,96.46,45.33,131.5,22.78,1.22,gAAAAABptp5OZ9Soqz-QmRjmc8MghSK1R-p39yCDAdZGqxQk38fABGjFDrurhkgbG1diWEzjouMoTNjBt3tobLkLb8irrn9_pg==,gAAAAABptp5O_nKnHwurO7Ah5VyD75FbC8338UF6jefy2_2pzd6ygfFiN1vXgMtAm3MT15bkd43uDlbV2fsUMgUJfiITz35TQShLWIUbMxPvkxDeMet4bDs=,gAAAAABptp5OkPwvDpI2-Tj4Sb0tA-6pXtzXnniAWKQ0wbgZbuAbACHjdzaCPdHFohnMDgDnionU9QHUN8SsbVdXkmnqROgFzg==,2025-02-21 11:02:00,MODERATE,MODERATE,CRITICAL,94.92,176.82999999999998,75.91,2025-02-21,11,Application,Medium,Asia Pacific
9a90becd-5be4-4d03-b1fa-1ffa70cb11f5,gAAAAABptp5Oz2pqlXxpsN80WnougwdaCzcPXnp5VCIJ4gnngd9UIyRtRJHapelet2UfSr_j40whd88a6k3oCGHGlymEkcKo0Q==,gAAAAABptp5OASOLYJ0PH7ZuNLAauYq99t9NOKo9qYO3Dgd2Kp7Uc8ellaYGHpV-lA-DS991fLdZINPnfSSAZeLNJP5c7K5H5Q==,Ubuntu 20.04,"Tokyo, Japan",20.29,24.65,66.56,60.59,133.97,18.68,5.32,gAAAAABptp5OZ1ItTolakbDupbCxwBtjalC3vvy2DEY2QteKYLDk9vDS9rd0ryKgqchCIsBTTdb1JzlA3Tr3wzFIcU7LoaOBuA==,gAAAAABptp5OnhrI9PUajdeXd8nvt4S-cWA-0XtA02_vjiP1jfNajeESVpylweqBarIv7dD1uCISKQGwDCdg9FUvgu-kaqwmZwisipgukst3cGt3r54ikZw=,gAAAAABptp5Om3yxe9sWxyKuKTwkCZ8qJelvZmIVDuSrlD1O8NMgp6i4JSx-nFgFGnPYg3Y6dodwuiWrgbz4-3w0B1JHRdZXlA==,2025-02-13 19:44:00,GOOD,GOOD,MODERATE,77.83,194.56,37.17,2025-02-13,19,Application,Medium,Asia Pacific
c2ba6509-caa4-4720-8633-cb7565e9947c,gAAAAABptp5OEzE_L5lm8otrP7oU-FcPi_J8DyJjKmKtOLruw46k1w6uH2_KgtDf6KlFvG-9pAjJuyeRfycnV5gQzqc6ueyfUw==,gAAAAABptp5O2gmB4ZbWjyZUCisxzmdq_H6LY2-Fo-25rtoC3x0JJj_8_1UHkTULhZebe5HMekAKv8uDZGWxzOOohPHwTx7Sbw==,Ubuntu 20.04,"Sydney, Australia",36.45,59.28,18.46,47.7,86.57,22.38,1.62,gAAAAABptp5OJibqUeylvb6C4KW0EsB4Go0NgyIdVvnki8logiYQK4mrBoQHjY9hiiSp1ib-IdHc1bXLgtvJwHNkSjAZoeF7yA==,gAAAAABptp5OfHr48c0MMpWyO4xkj2tFtAgZPqHSAPmPF5zUHqqhDvRdbFjsG178peOs5XXO21UEh9gIDLxrrfsaciu09bKip89u2pBKrufyab0lsm9dAaM=,gAAAAABptp5OpEbYCjaUutxM9ipQu8hSX0bPtPxYcRDxwmwa__H2p5tbo_ESem7vpVaV-2SRUVWEebVmFjmSAjW7LTkqtJS6iQ==,2025-03-09 14:58:00,GOOD,GOOD,GOOD,93.25,134.26999999999998,38.06,2025-03-09,14,Application,Medium,Asia Pacific
8e52d19d-1e84-466e-8e25-d24ae27434ab,gAAAAABptp5O4UkpCEG4i2GpslTp1i9hnzIUd6psSjNadV64HpDqeA4bI2xXmq2Hq5zZzatBvYUugbri3ISjCr0tB1HCqb72yg==,gAAAAABptp5Osy1v4o9-mq0Try2nEKq_RzQF97oy3FjRET80AKUsGtZikCB5q-BtGIUp_VPdsEi-U1euxBhjYLixo6LU3rRIWg==,Ubuntu 20.04,"Tokyo, Japan",12.62,86.98,18.54,102.76,11.03,20.3,3.7,gAAAAABptp5Ol6D1P0E_iJFHuak0yTU3aJ-M69jlS1gFy152fpbwpZm6aZwf1ytq7JNxVK5PG_KCSb9y21CDxqJQrXZwQzy1VA==,gAAAAABptp5O-Rn3vEPH7JWgME2Ip8pFlmjsiju5-16xaBxPhMx0tTgcjlOKUmx6xOQtntfkgxQ36ZRh96NEwi2Rpj1e2OOO2llgD1t79p5dXNSkE4pIVms=,gAAAAABptp5O8ujCft0bVkMe8q1Vb3ZfiESXfOIq_kAOF8gFacl8lHa4ugz_i_djQiHdQrD_KpE4Lbvvu_ENKLKBLWDco0QKZQ==,2025-03-06 10:06:00,GOOD,CRITICAL,GOOD,84.58,113.79,39.38,2025-03-06,10,Web Server,Small,Asia Pacific
95de17b4-60ec-4ea0-a79c-7faecdb85275,gAAAAABptp5OvV1rPhr13muMjzMYd2_deJAtZQ6O8TWOd6DCulr4lolcdTe5Zfucht9QZEY64cgBeUhUFmtul-zQ_06SK0dpLw==,gAAAAABptp5Ot-VFlrU6o6fnWVOE7eSbuANN-dYORcRYQ601-m7gBieiPJoX5ZSWZ-nk7UpOwVtGv2iIQVZnVIrfD-na4ffy-A==,CentOS 8,"Sydney, Australia",75.49,73.48,93.03,29.02,22.0,20.49,3.51,gAAAAABptp5O5Yj8hG7pwqHMvrmmUW08-iS8SkgIp1-Z1uajzHCriAD9_idNLag8tp6KaZeVQsfEzDk4mtFh0gQxhFjV8xbQJn_SfFHfgrrAmLJGyq0F5XI=,gAAAAABptp5O2l4Wt4K0_tyt0RglWcmP5i4c9mZCdgJCwR-cOqlutASau8l9ly7eTcgXA5aQjUBTw_7YQ25HBcetj4aQKW2HabPLnvohT2ljc1CcYptFWDY=,gAAAAABptp5Ol8DmQxC9lUBmoRGqr4yzCQYbuYerHjk7oxsOkIMPL_3ry-XFIfgfULbcggzh_EnYeEPBG5wlVz_Iy77uMsr8_w==,2025-02-24 14:29:00,MODERATE,MODERATE,CRITICAL,85.37,51.019999999999996,80.67,2025-02-24,14,Application,Medium,Asia Pacific
4aa1fa83-c575-4d81-a1c7-f1ed5395a0f6,gAAAAABptp5OlvaHj0mybPSNpzj-VqbN5c1ZxeeNA-or7HEJQxPzxggJOLSGWynjRF8StvOYhLlDN_3fyk0ocwCOHUGRHJYRUg==,gAAAAABptp5OEm1aVBR2qFUv-N7kqrnsNgsqtW3GFAQHKaPl-_mrpS-NUqTafsVHWMx4Eef1BDtBd_Ee3I9H3lVcUhMnRVpLcw==,CentOS 8,"Tokyo, Japan",88.3,24.14,25.99,67.86,120.95,20.19,3.81,gAAAAABptp5OEhDtjPqan16b01d56JUu-Ou80k7QT3ZvJH9frUd688TjDfg-Ax2pIn7P17Jgbk0eLAAOUxOl5vgRmc8PUcLdbSeDhOG7DLyBCTaqnPwrS1g=,gAAAAABptp5OKkMGTdy2y6vxg1ardowsb18plq854tZTNFsTLqatMMD7OQtraXkhbXvyLLbvEvskrmyhAZUQ_gtMHPzPojH-zMVXaoglCi8bfKeRtZAp1rc=,gAAAAABptp5O7e3v60wUNpX--6l_MisPxT7hQoap_3iaw8sJAC7lWNe-WWwcRKlJ3pI4JBecWOo9gaWZsm1-vd1D--LhZqWNUg==,2025-02-20 18:41:00,CRITICAL,GOOD,GOOD,84.12,188.81,46.14,2025-02-20,18,Analytics,Large,Asia Pacific
